nodes: 11
edges: 101
source: 0
target: 10
weight: 1.0
0 .
1 a
2 c
3 b
4 d
5 e
6 f
7 g
8 h
9 h
10 e
0 1 1
1 1 0.4468865565675686
1 2 0.08745188054709133
1 3 0.05835576052001929
1 4 0.03242439988330457
1 5 0.009548177867428786
1 6 0.10498420959847661
1 7 0.06766703745726305
1 8 0.10216706624599706
1 9 0.024383857213578768
1 10 0.06613105409927195
2 1 0.050860965172805236
2 2 0.5630080625611069
2 3 0.05792565750611853
2 4 0.06774350677654939
2 5 0.026754879975650216
2 6 0.028691493429587486
2 7 0.07397093582343701
2 8 0.019793929366747714
2 9 0.08850754497513891
2 10 0.022743024412858522
3 1 0.0010449511360618368
3 2 0.07028824887606455
3 3 0.46667216616702073
3 4 0.0654040993513518
3 5 0.08246095121330274
3 6 0.07299865088925254
3 7 0.04590994773890344
3 8 0.059178264581838474
3 9 0.07947886914862402
3 10 0.05656385089757984
4 1 0.08667822024471246
4 2 0.010666292261475854
4 3 0.006042607467090037
4 4 0.5094716718109856
4 5 0.05030864072687033
4 6 0.036027427854492124
4 7 0.07991929896716517
4 8 0.10439520385960624
4 9 0.05265415278155369
4 10 0.06383648402604863
5 1 0.022782701359383754
5 2 0.09356744812196481
5 3 0.020207912887545684
5 4 0.06710620147908382
5 5 0.5247257576739565
5 6 0.05690727555305408
5 7 0.0811163850817529
5 8 0.007856689157346594
5 9 0.02311443944967559
5 10 0.10261518923623647
6 1 0.002746243978615101
6 2 0.06471390002381824
6 3 0.049163430280022444
6 4 0.10397372009140285
6 5 0.10217034927275571
6 6 0.5410384887625411
6 7 0.060488590221786966
6 8 0.03224790545531391
6 9 0.02605211664037313
6 10 0.01740525527337054
7 1 0.07524977983686001
7 2 0.003488099055341424
7 3 0.07084125917080332
7 4 0.039991597833925106
7 5 0.10790076898870221
7 6 0.04932283872960559
7 7 0.5411958558282283
7 8 0.0038975517953856644
7 9 0.04441305060647438
7 10 0.06369919815467391
8 1 0.004308335343808031
8 2 0.045840660613171415
8 3 0.036843981573219886
8 4 0.09705004666126721
8 5 0.08942308044833305
8 6 0.05978398251330179
8 7 0.06966161926449861
8 8 0.4145363968364178
8 9 0.09882617819742631
8 10 0.08372571854855579
9 1 0.08730559947315399
9 2 0.022607755988342155
9 3 0.06099119834692167
9 4 0.07356995003301843
9 5 0.06218760856076252
9 6 0.087455891390996
9 7 0.07561385025692423
9 8 0.0030148231715287073
9 9 0.4772188993984817
9 10 0.050034423379870595
10 1 0.07056636912248937
10 2 0.07188526724553417
10 3 0.02864553226197838
10 4 0.10758851913324241
10 5 0.1055743045058525
10 6 0.014634341279567115
10 7 0.01396569354609486
10 8 0.09272933774222804
10 9 0.01763901684622478
10 10 0.4767716183167884
